,pBt_A,et_A,pBt_C,et_C,qBt_A,Qt_A,pGrid,qGrid,q2p,pBt_RC
0,-2351.6666666666665,3527.5,-650.0,1202.5,0.0,2100.0,-2495.8559413577586,-39.166109999999996,39.166109999999996,14.883121799999998
1,0.0,1411.0,-460.0,780.0,0.0,2100.0,271.1522882992681,-38.99592999999998,38.99592999999998,14.818453399999992
2,0.0,1411.0,0.0,481.0,0.0,2100.0,811.3637718235435,-38.754679999999986,38.754679999999986,14.726778399999995
3,4703.333333333333,1411.0,650.0,481.0,0.0,2100.0,6078.398434132601,-38.63939,38.63939,14.6829682
4,0.0,5644.0,650.0,903.5,0.0,2100.0,1296.1390843235436,-38.580009999999994,38.580009999999994,14.660403799999997
5,0.0,5644.0,0.0,1326.0,0.0,2100.0,485.7461616902452,-12.168324793388422,12.168324793388422,4.6239634214876
6,0.0,5644.0,-650.0,1326.0,0.0,2100.0,-162.3430558265258,483.1472451617649,0.0,0.0
7,-4703.333333333333,5644.0,-650.0,903.5,0.0,2100.0,-4838.6848007247245,883.4432374482659,0.0,0.0
8,0.0,1411.0,0.0,481.0,0.0,2100.0,272.86466599036925,726.3255094375493,0.0,0.0
9,0.0,1411.0,0.0,481.0,0.0,2100.0,-477.4912611127328,665.1578014998452,0.0,0.0
10,0.0,1411.0,0.0,481.0,0.0,2100.0,-1103.9603023150148,463.8485042582212,0.0,0.0
11,0.0,1411.0,0.0,481.0,0.0,2100.0,-725.2450876514054,428.35539506459907,0.0,0.0
12,0.0,1411.0,650.0,481.0,0.0,2100.0,-210.68715094549316,390.5535500778859,0.0,0.0
13,0.0,1411.0,270.0,903.5,0.0,2100.0,-153.8448318208292,417.2453906850435,0.0,0.0
14,0.0,1411.0,650.0,1079.0,0.0,2100.0,-260.6803196326782,348.48797015675274,0.0,0.0
15,4703.333333333333,1411.0,650.0,1501.5,0.0,2100.0,4423.073331212532,467.30377553644405,0.0,0.0
16,0.0,5644.0,0.0,1924.0,0.0,2100.0,-999.7031783269913,504.16690030808235,0.0,0.0
17,0.0,5644.0,0.0,1924.0,0.0,2100.0,-114.51877415535125,584.0967652561426,0.0,0.0
18,0.0,5644.0,0.0,1924.0,0.0,2100.0,337.516756244706,372.23569082644667,0.0,0.0
19,0.0,5644.0,-460.0,1924.0,0.0,2100.0,5.6000285920775354,498.08902415978,0.0,0.0
20,-4703.333333333333,5644.0,-650.0,1625.0,0.0,2100.0,-4840.591303586084,388.60400187327826,0.0,0.0
21,0.0,1411.0,-650.0,1202.5,0.0,2100.0,-141.253955764561,194.3156752066116,0.0,0.0
22,2351.6666666666665,1411.0,650.0,780.0,0.0,2100.0,3512.2158602824256,49.94369853994493,0.0,0.0
23,-7055.0,3527.5,-650.0,1202.5,0.0,2100.0,-7204.298519400101,-69.85836906336093,69.85836906336093,26.546180244077153
