,pBt_A,et_A,pBt_C,et_C,qBt_A,Qt_A,pGrid,qGrid,q2p,pBt_RC
0,-1904.85,1411.0,0.0,1202.5,0.0,2100.0,503905.87530890765,-39166.10999999999,39166.10999999999,14883.121799999997
1,0.0,1411.0,0.0,1202.5,0.0,2100.0,731152.2882992681,-38995.929999999986,38995.929999999986,14818.453399999995
2,0.0,1411.0,0.0,1202.5,0.0,2100.0,811363.7718235435,-38754.679999999986,38754.679999999986,14726.778399999996
3,0.0,1411.0,0.0,1202.5,0.0,2100.0,725065.1007992681,-38639.38999999999,38639.38999999999,14682.968199999998
4,0.0,1411.0,0.0,1202.5,0.0,2100.0,646139.0843235435,-38580.00999999999,38580.00999999999,14660.403799999995
5,0.0,1411.0,0.0,1202.5,0.0,2100.0,485746.16169024515,-12168.324793388412,12168.324793388412,4623.963421487597
6,0.0,1411.0,0.0,1202.5,0.0,2100.0,487656.9441734742,483147.2451617649,0.0,0.0
7,0.0,1411.0,0.0,1202.5,0.0,2100.0,514648.53260860883,883443.2374482658,0.0,0.0
8,0.0,1411.0,0.0,1202.5,0.0,2100.0,272864.6659903693,726325.5094375492,0.0,0.0
9,0.0,1411.0,0.0,1202.5,0.0,2100.0,-477491.2611127327,665157.8014998451,0.0,0.0
10,0.0,1411.0,0.0,1202.5,0.0,2100.0,-1103960.3023150146,463848.50425822125,0.0,0.0
11,0.0,1411.0,0.0,1202.5,0.0,2100.0,-725245.0876514054,428355.39506459906,0.0,0.0
12,0.0,1411.0,0.0,1202.5,0.0,2100.0,-860687.150945493,390553.550077886,0.0,0.0
13,0.0,1411.0,0.0,1202.5,0.0,2100.0,-423844.83182082925,417245.3906850435,0.0,0.0
14,0.0,1411.0,0.0,1202.5,0.0,2100.0,-910680.3196326783,348487.97015675274,0.0,0.0
15,4703.333333333333,5644.0,0.0,1202.5,0.0,2100.0,-925556.6687874674,467303.775536444,0.0,0.0
16,0.0,5644.0,0.0,1202.5,0.0,2100.0,-999703.1783269912,504166.9003080824,0.0,0.0
17,0.0,5644.0,0.0,1202.5,0.0,2100.0,-114518.77415535128,584096.7652561426,0.0,0.0
18,0.0,5644.0,0.0,1202.5,0.0,2100.0,337516.756244706,372235.69082644663,0.0,0.0
19,0.0,5644.0,0.0,1202.5,0.0,2100.0,465600.02859207755,498089.02415978006,0.0,0.0
20,-1904.85,3527.5,0.0,1202.5,0.0,2100.0,510837.17974724935,388604.00187327823,0.0,0.0
21,0.0,3527.5,0.0,1202.5,0.0,2100.0,508746.044235439,194315.67520661157,0.0,0.0
22,0.0,3527.5,0.0,1202.5,0.0,2100.0,510549.1936157592,49943.69853994493,0.0,0.0
23,0.0,3527.5,0.0,1202.5,0.0,2100.0,500701.4805998984,-69858.36906336091,69858.36906336091,26546.180244077146
