,pBt_A,et_A,pBt_C,et_C,qBt_A,Qt_A,pGrid,qGrid,q2p,pBt_RC
0,-1904.85,1411.0,0.0,1202.5,0.0,2100.0,-1399.0392746910923,-35.33388999999999,35.33388999999999,13.426878199999996
1,0.0,1411.0,0.0,1202.5,0.0,2100.0,731.1522882992681,-35.504070000000006,35.504070000000006,13.491546600000003
2,0.0,1411.0,0.0,1202.5,0.0,2100.0,811.3637718235435,-35.74532,35.74532,13.5832216
3,0.0,1411.0,0.0,1202.5,0.0,2100.0,725.0651007992681,-35.86060999999999,35.86060999999999,13.627031799999996
4,0.0,1411.0,0.0,1202.5,0.0,2100.0,646.1390843235434,-35.91998999999999,35.91998999999999,13.649596199999998
5,0.0,1411.0,0.0,1202.5,0.0,2100.0,485.7461616902452,-9.64572479338841,9.64572479338841,3.665375421487596
6,0.0,1411.0,0.0,1202.5,0.0,2100.0,487.6569441734742,533.5194451617649,0.0,0.0
7,0.0,1411.0,0.0,1202.5,0.0,2100.0,514.6485326086089,982.1146374482659,0.0,0.0
8,0.0,1411.0,0.0,1202.5,0.0,2100.0,272.86466599036925,822.4939094375493,0.0,0.0
9,0.0,1411.0,0.0,1202.5,0.0,2100.0,-477.4912611127328,665.1578014998452,0.0,0.0
10,0.0,1411.0,0.0,1202.5,0.0,2100.0,-1103.9603023150148,463.8485042582212,0.0,0.0
11,0.0,1411.0,0.0,1202.5,0.0,2100.0,-725.2450876514054,428.35539506459907,0.0,0.0
12,0.0,1411.0,0.0,1202.5,0.0,2100.0,-860.6871509454932,390.5535500778859,0.0,0.0
13,0.0,1411.0,0.0,1202.5,0.0,2100.0,-423.8448318208292,417.2453906850435,0.0,0.0
14,0.0,1411.0,0.0,1202.5,0.0,2100.0,-910.6803196326782,348.48797015675274,0.0,0.0
15,4703.333333333333,5644.0,0.0,1202.5,0.0,2100.0,3773.073331212532,467.30377553644405,0.0,0.0
16,0.0,5644.0,0.0,1202.5,0.0,2100.0,-999.7031783269913,504.16690030808235,0.0,0.0
17,0.0,5644.0,0.0,1202.5,0.0,2100.0,-114.51877415535125,592.0551252561427,0.0,0.0
18,0.0,5644.0,0.0,1202.5,0.0,2100.0,337.516756244706,379.5081108264467,0.0,0.0
19,0.0,5644.0,0.0,1202.5,0.0,2100.0,465.60002859207754,504.82144415978007,0.0,0.0
20,-1904.85,3527.5,0.0,1202.5,0.0,2100.0,-1392.1079702527504,393.4152818732783,0.0,0.0
21,0.0,3527.5,0.0,1202.5,0.0,2100.0,508.746044235439,198.37027520661158,0.0,0.0
22,0.0,3527.5,0.0,1202.5,0.0,2100.0,510.5491936157592,53.90891853994492,0.0,0.0
23,0.0,3527.5,0.0,1202.5,0.0,2100.0,500.7014805998984,-66.13198906336092,66.13198906336092,25.130155844077148
