EnPrice[€/kWh],RegPrice[€/kW]
0.0442400019999999,0.016
0.04541,0.01877
0.04225,0.0198999999999999
0.041700001,0.0198999999999999
0.04168,0.01877
0.045099998,0.01877
0.053400002,0.01224
0.053630001,0.009
0.056889999,0.009
0.066720001,0.009
0.065559998,0.009
0.065389999,0.009
0.062689999,0.009
0.0669599989999999,0.009
0.073970001,0.009
0.075910004,0.01224
0.073629997,0.01224
0.069510002,0.0124
0.062709999,0.009
0.051529999,0.009
0.04368,0.009
0.040049999,0.015
0.03532,0.016
0.0273999999999999,0.0198999999999999
